b'20070501000000'	5030.975	-3047.528361608134	2205	2232	232	466	19	9	5163
b'20070601000000'	5257.512	-3024.518494592039	2213	2349	244	486	17	12	5321
b'20070701000000'	5485.531	-2959.821838869823	2238	2419	292	486	23	9	5467
b'20070801000000'	5683.94	-2943.7393618584515	2275	2480	321	498	29	9	5612
b'20070901000000'	5863.469	-2917.5789985351266	2297	2525	375	496	29	10	5732
b'20071001000000'	6084.658	-2898.4020775127856	2307	2588	426	501	41	11	5874
b'20071101000000'	6313.682	-2840.7343499798603	2320	2640	472	506	51	13	6002
b'20071201000000'	6487.16	-2884.3134735941085	2367	2681	507	504	55	14	6128
b'20080101000000'	6696.77	-3078.7326109390438	2439	2744	566	499	61	13	6322
b'20080201000000'	6935.837	-3848.155829586645	2702	2770	644	484	66	19	6685
b'20080301000000'	7159.037	-3777.00538625673	2720	2813	701	477	74	22	6807
b'20080401000000'	7441.429	-3651.371712561485	2701	2872	742	504	87	23	6929
b'20080501000000'	7684.834	-3597.0146462010534	2720	2914	819	492	94	25	7064
b'20080601000000'	7903.354	-3553.4194612865244	2748	2926	871	507	105	27	7184
b'20080701000000'	8077.738	-3493.564106105373	2743	2967	906	516	109	28	7269
b'20080801000000'	8241.349	-3649.24497041121	2821	3011	937	511	119	26	7425
b'20080901000000'	8407.838	-3699.213088577535	2867	3061	973	507	121	28	7557
b'20081001000000'	8560.656	-3715.254845692152	2909	3068	1020	515	126	30	7668
b'20081101000000'	8700.621	-4064.245678214304	3052	3116	1036	508	130	29	7871
b'20081201000000'	8893.256	-4032.9312458564414	3082	3138	1079	515	139	32	7985
b'20090101000000'	9145.428	-4002.4773491276032	3108	3169	1164	510	148	34	8133
b'20090201000000'	9359.797	-3929.1735416838033	3126	3192	1211	519	159	32	8239
b'20090301000000'	9511.555	-3921.86160563761	3147	3207	1254	518	167	33	8326
b'20090401000000'	9773.492	-3935.51229320231	3197	3285	1291	507	189	33	8502
b'20090501000000'	9985.603	-3925.674168666157	3234	3313	1335	508	205	37	8632
b'20090601000000'	10261.302	-3775.6098236708467	3220	3377	1370	508	229	41	8745
b'20090701000000'	10453.434	-3635.3834127522346	3214	3407	1419	510	234	45	8829
b'20090801000000'	10683.719	-3689.508466673706	3320	3431	1458	504	254	46	9013
b'20090901000000'	10864.741	-3824.0896725154657	3398	3473	1500	499	256	54	9180
b'20091001000000'	11076.974	-3848.789959335393	3479	3508	1556	483	270	56	9352
